,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Fianarantsoa,MG,-21.4333,47.0833,66.63,99,100,2.95,heavy intensity rain
150,Bhatgaon,IN,21.15,81.7,82.2,18,28,1.25,scattered clouds
151,Gladstone,AU,-23.85,151.25,71.78,83,47,5.75,scattered clouds
152,Caravelas,BR,-17.7125,-39.2481,84.36,61,4,9.69,clear sky
153,Kavieng,PG,-2.5744,150.7967,82.92,66,16,14.18,few clouds
154,Chum Phae,TH,16.5443,102.0992,79.2,68,85,1.79,overcast clouds
155,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,96.46,16,93,6.58,overcast clouds
156,Caxito,AO,-8.5785,13.6643,78.28,75,98,5.73,overcast clouds
157,Dikson,RU,73.5069,80.5464,26.42,96,100,15.1,light snow
158,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,100,11.5,mist
159,Upernavik,GL,72.7868,-56.1549,-11.88,84,42,4.45,scattered clouds
160,Bullhead City,US,35.1478,-114.5683,72.59,21,0,28.77,clear sky
161,Capitan Bado,PY,-23.2667,-55.5333,87.39,43,31,8.88,scattered clouds
162,Talnakh,RU,69.4865,88.3972,11.21,97,100,11.86,snow
163,Bilibino,RU,68.0546,166.4372,-25.55,100,100,2.89,overcast clouds
164,Palana,RU,59.1167,159.9667,-3.21,78,1,6.08,clear sky
165,Bujaru,BR,-1.515,-48.0447,88.39,56,42,4.23,scattered clouds
166,Altamont,US,42.2068,-121.7372,40.78,77,100,3.44,overcast clouds
167,Codrington,AU,-38.2667,141.9667,61.41,94,19,10.6,few clouds
168,Qandala,SO,11.472,49.8728,77.72,74,3,3.13,clear sky
169,Bethel,US,41.3712,-73.414,53.96,93,100,6.91,mist
170,Mbini,GQ,1.574,9.6134,85.84,79,100,5.66,light rain
171,Mahebourg,MU,-20.4081,57.7,77.25,86,14,5.03,light rain
172,Alofi,NU,-19.0595,-169.9187,75.09,100,100,1.14,overcast clouds
173,Shache,CN,38.4167,77.2406,59.81,30,0,6.2,clear sky
174,Ilulissat,GL,69.2167,-51.1,-2.18,50,20,10.36,few clouds
175,San Jeronimo,PE,-11.9472,-75.2829,61.86,44,19,2.42,few clouds
176,Kruisfontein,ZA,-34.0033,24.7314,68.88,76,5,13.73,clear sky
177,Half Moon Bay,US,37.4636,-122.4286,60.62,79,0,8.05,mist
178,Tiksi,RU,71.6872,128.8694,-5.84,90,51,14.61,broken clouds
179,Brae,GB,60.3964,-1.353,42.66,63,93,25.08,overcast clouds
180,Ahipara,NZ,-35.1667,173.1667,61.3,80,99,5.77,overcast clouds
181,Fortuna,US,40.5982,-124.1573,53.92,84,100,4.61,overcast clouds
182,Kemijarvi,FI,66.7131,27.4306,33.6,86,40,13.27,scattered clouds
183,Saldanha,ZA,-33.0117,17.9442,78.85,72,13,12.95,few clouds
184,Riyadh,SA,24.6877,46.7219,57.34,10,0,9.22,clear sky
185,Tayoltita,MX,24.0833,-105.9333,79.38,9,0,7.16,clear sky
186,Usinsk,RU,65.9939,57.5281,28.69,92,100,10.07,overcast clouds
187,Wana,PK,32.2989,69.5725,72.16,28,9,3.33,clear sky
188,La Grande,US,45.3246,-118.0877,44.06,75,100,9.13,overcast clouds
189,Del Rio,US,29.3627,-100.8968,72.0,43,0,4.61,clear sky
190,Sept-Iles,CA,50.2001,-66.3821,27.12,90,100,13.8,snow
191,Nishihara,JP,26.1842,127.7558,71.65,97,100,18.41,moderate rain
192,Isangel,VU,-19.55,169.2667,79.86,78,100,3.13,light rain
193,East Massapequa,US,40.6734,-73.4365,53.98,85,100,5.75,mist
194,Tilichiki,RU,60.4667,166.1,-8.55,87,3,8.66,clear sky
195,Luanda,AO,-8.8368,13.2343,82.4,69,20,10.36,few clouds
196,Molina,CL,-35.1167,-71.2833,76.37,67,75,8.05,broken clouds
197,Lebu,CL,-37.6167,-73.65,61.05,69,0,20.15,clear sky
198,Jaguey Grande,CU,22.5269,-81.1286,94.33,31,7,3.8,clear sky
199,Xinzhi,CN,36.4989,111.7047,45.34,68,99,5.88,overcast clouds
200,Guerrero Negro,MX,27.9769,-114.0611,69.8,51,1,9.04,clear sky
201,Rome,US,34.257,-85.1647,71.47,72,0,4.61,clear sky
202,Morgan City,US,29.6994,-91.2068,73.99,68,20,10.36,few clouds
203,Olafsvik,IS,64.8945,-23.7142,29.68,59,97,44.58,light snow
204,Tocopilla,CL,-22.092,-70.1979,74.28,70,18,10.4,few clouds
205,Sur,OM,22.5667,59.5289,79.5,61,0,9.42,clear sky
206,Nikolskoye,RU,59.7035,30.7861,37.29,94,11,4.16,few clouds
207,Kutum,SD,14.2,24.6667,65.97,9,85,11.77,overcast clouds
208,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,85.8,70,40,3.44,scattered clouds
209,Zhangjiakou,CN,40.81,114.8794,24.55,96,99,2.3,light snow
210,Faanui,PF,-16.4833,-151.75,80.2,65,0,3.49,clear sky
211,Adrar,MR,20.5022,-10.0711,77.56,22,0,10.22,clear sky
212,Oranjemund,NA,-28.55,16.4333,72.5,47,2,13.49,clear sky
213,Katherine,AU,-14.4667,132.2667,80.92,78,99,0.0,overcast clouds
214,Itarema,BR,-2.9248,-39.9167,82.09,75,77,6.91,broken clouds
215,Gao,ML,16.6362,1.637,91.99,10,70,9.37,broken clouds
